  simno it age mass belief forage env state info
   1   12   15 10.00 0.923 0.704    0    1 0.000000025937454
   1   12   16 10.00 0.905 0.706    0    1 0.000000039453177
   1   12   17 11.00 0.935 0.710    0    1 0.000000060608610
   1   12   18 11.00 0.920 0.704    0    1 0.000000031144888
   1   12   19 11.00 0.901 0.708    0    1 0.000000045961919
   1   12   20 11.00 0.879 0.711    0    1 0.000000075439194
   1   12   21 11.00 0.853 0.716    0    1 0.000000108532146
   1   12   22 11.00 0.821 0.720    0    1 0.000000164031872
   1   12   23 12.00 0.873 0.728    0    1 0.000000234048371
   1   12   24 13.00 0.911 0.716    0    1 0.000000127240096
   1   12   25 14.00 0.938 0.709    0    1 0.000000064951684
   1   12   26 14.00 0.924 0.704    0    1 0.000000033129154
   1   12   27 14.00 0.907 0.706    0    1 0.000000048537277
   1   12   28 15.00 0.936 0.710    0    1 0.000000074166442
   1   12   29 15.00 0.921 0.704    0    1 0.000000034128358
   1   12   30 16.00 0.946 0.707    0    1 0.000000054589007
   1   12   31 16.00 0.933 0.702    0    1 0.000000025466035
   1   12   32 17.00 0.954 0.704    0    1 0.000000046737136
   1   12   33 18.00 0.969 0.702    0    1 0.000000022955029
   1   12   34 19.00 0.979 0.698    0    1 0.000000008605271
   1   12   35 19.00 0.974 0.696    0    1 0.000000004965250
   1   12   36 19.00 0.968 0.698    0    1 0.000000006397235
   1   12   37 19.00 0.960 0.698    0    1 0.000000011322359
   1   12   38 19.00 0.950 0.700    0    1 0.000000013940126
   1   12   39 20.00 0.966 0.702    0    1 0.000000023917918
   1   12   40 20.00 0.958 0.700    0    1 0.000000018088075
   1   12   41 20.00 0.948 0.700    0    1 0.000000021979253
   1   12   42 20.00 0.936 0.702    0    1 0.000000027692026
   1   12   43 21.00 0.956 0.704    0    1 0.000000043303216
   1   12   44 22.00 0.970 0.700    0    1 0.000000025218559
   1   12   45 22.00 0.963 0.698    0    1 0.000000009103588
   1   12   46 23.00 0.975 0.700    0    1 0.000000015927372
   1   12   47 23.00 0.969 0.697    0    1 0.000000010413950
   1   12   48 24.00 0.979 0.698    0    1 0.000000010016884
   1   12   49 24.00 0.974 0.696    0    1 0.000000003678849
   1   12   50 25.00 0.983 0.698    0    1 0.000000008977530
   1   12   51 25.00 0.978 0.696    0    1 0.000000000215018
   1   12   52 26.00 0.985 0.696    0    1 0.000000006850861
   1   12   53 26.00 0.982 0.696    0    1 0.000000002904272
   1   12   54 26.00 0.978 0.696    0    1 -0.000000000022278
   1   12   55 27.00 0.985 0.696    0    1 0.000000009226660
   1   12   56 27.00 0.981 0.696    0    1 0.000000002581039
   1   12   57 27.00 0.977 0.696    0    1 -0.000000000110258
   1   12   58 27.00 0.971 0.696    0    1 0.000000010705711
